2130,5,2,Suburb,2001,272436.239065061
1121,5,2,Urban,2004,95961.92601406391
1466,5,3,Suburb,1951,191113.76867886042
2123,5,2,Rural,1956,190773.14856300573
2687,5,1,Urban,1979,239222.66779695038
1805,5,1,Rural,2002,243985.2054715822
2215,5,1,Urban,1952,282908.98169371625
1747,5,3,Rural,1982,228683.22699618756
2499,5,1,Urban,2021,287591.6728221959
1699,5,1,Rural,1960,156313.5941951282
2590,5,2,Suburb,1957,328501.8015463275
2528,5,1,Urban,1969,259751.15444635937
2508,5,3,Suburb,2007,352932.1624639027
2842,5,3,Urban,2014,422042.91851435706
1020,5,1,Rural,1983,220053.8603574218
1840,5,3,Suburb,1961,216148.20845399628
1315,5,2,Suburb,1989,98039.30310069738
2369,5,1,Suburb,1963,209700.7184829428
2363,5,3,Urban,2004,308830.9396512381
2390,5,3,Urban,2019,172777.3198326151
2478,5,3,Urban,1986,273365.49912049377
2451,5,2,Rural,1972,216047.21814963987
1034,5,3,Rural,1993,117295.37520060755
2955,5,3,Rural,2012,378403.5710107572
2411,5,1,Rural,1958,337645.67623531295
2025,5,2,Rural,1993,240145.9702539115
2021,5,1,Suburb,1971,92641.62211021263
1565,5,3,Rural,1957,149848.61640852437
1702,5,3,Urban,1970,201925.84088885222
1729,5,1,Rural,2019,171877.06629783398
1201,5,1,Urban,1951,87804.5603712397
1995,5,3,Suburb,1965,221217.76933158594
2886,5,3,Rural,1969,315607.02376495936
2275,5,2,Rural,1964,259473.27933704839
2748,5,1,Suburb,2020,255619.99775314287
1791,5,3,Rural,2003,242865.26019000952
2945,5,1,Urban,1986,295356.77549321775
1187,5,3,Suburb,1957,132828.81413178446
2880,5,2,Rural,1955,312245.8679787154
2495,5,1,Urban,1987,328702.8347369156
1391,5,1,Rural,1995,51154.13113008726
1418,5,3,Suburb,1998,222904.25800629333
2051,5,1,Suburb,1953,185052.5631740863
1200,5,3,Suburb,2014,156394.27348181067
2863,5,1,Suburb,2000,333464.1490294491
1779,5,1,Urban,1960,211994.3281859909
1098,5,2,Rural,2012,102580.49836622813
1683,5,3,Urban,1986,208774.14233121456
2485,5,3,Urban,1960,321647.4526525699
2028,5,1,Suburb,1984,184210.77355558553
1392,5,2,Rural,2005,225281.32417764858
1742,5,1,Urban,1993,235034.89983819606
2194,5,2,Rural,1996,245433.69445927496
2109,5,1,Urban,1994,185909.90163690777
1681,5,2,Urban,1982,247683.38181415357
2529,5,3,Rural,1985,291195.67134809634
2408,5,2,Suburb,2004,349887.387165537
1627,5,1,Suburb,1986,240462.67775685625
2282,5,1,Rural,1950,351438.5468115283
2382,5,2,Rural,2014,207718.7411877128
2434,5,3,Urban,1961,234064.51365009736
2700,5,1,Suburb,1962,397825.33643637935
2256,5,3,Urban,2013,315304.2483174342
2715,5,1,Rural,1980,229019.4794959325
2291,5,2,Suburb,1965,276165.905109651
2830,5,3,Rural,1975,272012.265169515
2409,5,3,Urban,2014,342249.54232187086
2410,5,1,Urban,1977,258023.51102204097
1112,5,1,Urban,1950,69293.96649206044
1219,5,3,Suburb,1980,117989.35682972189
2426,5,2,Urban,1975,308529.3077393932
2153,5,1,Suburb,1962,246860.55002366885
2733,5,1,Suburb,1992,290094.597001723
2439,5,1,Urban,1956,272077.872708492
1835,5,1,Suburb,2015,241849.2414576917
1400,5,1,Suburb,2020,184460.04344561708
2534,5,3,Rural,1984,348379.26646709716
1763,5,1,Suburb,1963,230075.0498156624
2534,5,3,Rural,2017,233756.8863821809
1863,5,1,Rural,2013,331026.59636098804
2843,5,1,Suburb,1965,333530.0633743215
1550,5,3,Suburb,1969,186745.12964093967
1871,5,1,Urban,2017,213894.31463154923
2802,5,1,Urban,1982,243011.57473076603
2976,5,1,Rural,1954,265075.948204332
1623,5,2,Rural,1986,236531.66553606672
1880,5,1,Rural,1997,172765.2509259063
2183,5,1,Rural,2001,215636.3058238462
1008,5,3,Suburb,1983,161063.73607289075
1151,5,2,Suburb,2019,147961.73986336417
2445,5,2,Rural,2010,230463.81535562873
2884,5,3,Urban,1963,292602.0202390748
2919,5,2,Rural,1971,316117.1565885165
2743,5,1,Suburb,2012,303839.76221234776
